threadTitle,threadDescription,keyStageTitle,yearTitle,examBoardTitle,unitId,unitTitle,unitDescription,unitThreadOrder,threadProgressionStatement
"Invasion, migration and settlement","This thread is concerned with the substantive concepts that relate to invasion, migration and settlement. It examines the movement of people into and across different regions, the causes and consequences of these movements, and how they impact society, culture, and identity. It includes violent conquest, peaceful migration, and long-term settlement processes.",Key Stage 1,Year 1,NoBoard,1085,Significant explorers: How has seafaring changed over time?,"This unit on explorers and seafaring gives students a clear sense of change over time, highlighting technological, economic, and cultural shifts. It covers the sea's role in trade and exploration and explores material culture, craftsmanship, and the influence of seafaring on language and art.",1,"Thread: Invasion, migration and settlement
Previous Unit: N/A
Current Unit: 1085 Significant explorers: How has seafaring changed over time? (KS1, Y1)
Next Unit: 946 Stone Age Britain: what do archaeologists think they know about it? (KS2, Y3)

In this unit, the thread is established as pupils discover how global exploration and seafaring evolve through significant historical figures and events. They examine the Polynesian navigation across the Pacific, the construction and use of Viking longboats for trade and raiding, and the technological advances in navigation by Zheng He and John Franklin. Pupils also evaluate the transition from sail to steam power, exemplified by Turner's depiction of 'The Fighting Temeraire'."
"Invasion, migration and settlement","This thread is concerned with the substantive concepts that relate to invasion, migration and settlement. It examines the movement of people into and across different regions, the causes and consequences of these movements, and how they impact society, culture, and identity. It includes violent conquest, peaceful migration, and long-term settlement processes.",Key Stage 2,Year 3,NoBoard,946,Stone Age Britain: what do archaeologists think they know about it?,"This unit examines the archaeological record that exists for Stone Age Britain and introduces pupils to the way in which archaeologists make claims based on this evidence. As the first unit in KS2, it covers the settlement of humans in Britain during the Paleolithic, Mesolithic and Neolithic eras.",2,"Thread: Invasion, migration and settlement
Previous Unit: 1085 Significant explorers: How has seafaring changed over time? (KS1, Y1)
Current Unit: 946 Stone Age Britain: what do archaeologists think they know about it? (KS2, Y3)
Next Unit: 947 Bronze and Iron Age Britain: how did life change during this time? (KS2, Y3)

In this unit, the thread progresses as pupils examine the early human settlement in Britain through archaeological evidence. They explore how natural climate changes prompted movements, like Homo sapiens' transient habitation. Pupils interpret artefacts such as stone tools and footprints, linking them to early human adaptation and survival. This analysis advances their understanding of how environmental shifts influenced settlement patterns and societal developments."
"Invasion, migration and settlement","This thread is concerned with the substantive concepts that relate to invasion, migration and settlement. It examines the movement of people into and across different regions, the causes and consequences of these movements, and how they impact society, culture, and identity. It includes violent conquest, peaceful migration, and long-term settlement processes.",Key Stage 2,Year 3,NoBoard,947,Bronze and Iron Age Britain: how did life change during this time?,"This unit analyses how life changed in Britain between the Bronze and Iron Ages. It examines how the use of bronze changed life in Britain and how agriculture, settlement, and trade changed further in the Iron Age. Life in the two periods is compared and contrasted.",3,"Thread: Invasion, migration and settlement
Previous Unit: 946 Stone Age Britain: what do archaeologists think they know about it? (KS2, Y3)
Current Unit: 947 Bronze and Iron Age Britain: how did life change during this time? (KS2, Y3)
Next Unit: 1137 Sumer and other early civilisations: what made them similar? (KS2, Y3)

In this unit, the thread progresses as pupils examine the transformative effects of technological advancement on settlement patterns in Britain from the Bronze to Iron Ages. They evaluate how the introduction of bronze and later iron tools enabled expanded agriculture, leading to population growth and complex societies. Pupils also consider the role of the Celts and the construction of hillforts, assessing how these developments influenced social structures and trade dynamics."
"Invasion, migration and settlement","This thread is concerned with the substantive concepts that relate to invasion, migration and settlement. It examines the movement of people into and across different regions, the causes and consequences of these movements, and how they impact society, culture, and identity. It includes violent conquest, peaceful migration, and long-term settlement processes.",Key Stage 2,Year 3,NoBoard,1137,Sumer and other early civilisations: what made them similar?,"This unit analyses the similarities and differences between early civilisations. Pupils learn about Mesopotamia as a 'cradle of civilisation' and compare it to other civilisations, such as the Shang and the Indus Valley civilisations.",4,"Thread: Invasion, migration and settlement
Previous Unit: 947 Bronze and Iron Age Britain: how did life change during this time? (KS2, Y3)
Current Unit: 1137 Sumer and other early civilisations: what made them similar? (KS2, Y3)
Next Unit: 1138 The earliest civilisations: the Indus and the Shang (KS2, Y3)

In this unit, the thread progresses as pupils examine how early civilisations like the Sumerians transitioned from nomadic to settled societies. They analyse how innovations in farming and trade in Mesopotamia led to the development of cities and writing systems. By comparing Mesopotamia with the Indus and Yellow River Valleys, pupils assess how these 'cradles of civilisation' share common settlement patterns, while recognising distinct cultural developments in art and religion."
"Invasion, migration and settlement","This thread is concerned with the substantive concepts that relate to invasion, migration and settlement. It examines the movement of people into and across different regions, the causes and consequences of these movements, and how they impact society, culture, and identity. It includes violent conquest, peaceful migration, and long-term settlement processes.",Key Stage 2,Year 3,NoBoard,1138,The earliest civilisations: the Indus and the Shang,"These units analyse the way in which archaeologists have found out about the Indus Valley Civilisation and the Shang dynasty. Whichever unit is chosen, pupils examine the archaeological record of an early civilisation and develop their knowledge of what claims are based on these remains.",5,"Thread: Invasion, migration and settlement
Previous Unit: 1137 Sumer and other early civilisations: what made them similar? (KS2, Y3)
Current Unit: 1138 The earliest civilisations: the Indus and the Shang (KS2, Y3)
Next Unit: 1139 Iron Age Britain: what have historians learnt about Iron Age Britain? (KS2, Y3)

In this unit, the thread progresses as pupils examine how early civilisations emerged through archaeological evidence. They assess how the Indus Valley and Shang Dynasty's societal structures, such as urban planning and the use of oracle bones, illustrate complex settlement processes. Pupils explore the significance of artefacts like bronze dings and clay seals, evaluating how these discoveries inform our understanding of ancient migration and settlement dynamics."
"Invasion, migration and settlement","This thread is concerned with the substantive concepts that relate to invasion, migration and settlement. It examines the movement of people into and across different regions, the causes and consequences of these movements, and how they impact society, culture, and identity. It includes violent conquest, peaceful migration, and long-term settlement processes.",Key Stage 2,Year 3,NoBoard,1139,Iron Age Britain: what have historians learnt about Iron Age Britain?,"In this unit, pupils develop their understanding of sources and evidence by examining the artefacts that remain from Iron Age Britain. They will learn about Celtic art, Iron Age women, and Iron Age Britain's connections to the wider world.",6,"Thread: Invasion, migration and settlement
Previous Unit: 1138 The earliest civilisations: the Indus and the Shang (KS2, Y3)
Current Unit: 1139 Iron Age Britain: what have historians learnt about Iron Age Britain? (KS2, Y3)
Next Unit: 1059 The Vikings: why did they come to the British Isles? (KS2, Y5)

In this unit, the thread progresses as pupils examine artefacts from Iron Age Britain to understand cultural connections and societal structures. They analyse the discovery of Lindow Man and the Wetwang chariot to evaluate Celtic art and the role of women, highlighting migration and settlement ties to Europe. This extends their understanding by revealing how interconnectedness and artefacts inform historical narratives."
"Invasion, migration and settlement","This thread is concerned with the substantive concepts that relate to invasion, migration and settlement. It examines the movement of people into and across different regions, the causes and consequences of these movements, and how they impact society, culture, and identity. It includes violent conquest, peaceful migration, and long-term settlement processes.",Key Stage 2,Year 5,NoBoard,1059,The Vikings: why did they come to the British Isles?,"n this unit, pupils learn about the period in which Viking invaders first came to Britain. They learn about the Vikings themselves and the conflict that emerged between them and the Anglo-Saxon kingdoms of England. Pupils also learn about the roles of Aethelred and Alfred the Great in this period.",7,"Thread: Invasion, migration and settlement
Previous Unit: 1139 Iron Age Britain: what have historians learnt about Iron Age Britain? (KS2, Y3)
Current Unit: 1059 The Vikings: why did they come to the British Isles? (KS2, Y5)
Next Unit: 1141 The Vikings: how do we know so much about Viking York? (KS2, Y6)

In this unit, the thread progresses as pupils analyse the Viking invasions and settlements in Britain. They evaluate early raids like Lindisfarne, examining the strategic use of longboats. Pupils assess figures such as Alfred the Great and Guthrum, understanding how resistance and treaties shaped the Danelaw. Through these events, pupils observe the complex interactions between Viking invaders and Anglo-Saxon kingdoms, revealing the transformative impact on British society."
"Invasion, migration and settlement","This thread is concerned with the substantive concepts that relate to invasion, migration and settlement. It examines the movement of people into and across different regions, the causes and consequences of these movements, and how they impact society, culture, and identity. It includes violent conquest, peaceful migration, and long-term settlement processes.",Key Stage 2,Year 6,NoBoard,1141,The Vikings: how do we know so much about Viking York?,"In this unit, pupils learn about the archaeological discoveries made at Coppergate in York. They find out how archaeologists and historians have used artefacts to build a picture of what Viking York would have been like.",8,"Thread: Invasion, migration and settlement
Previous Unit: 1059 The Vikings: why did they come to the British Isles? (KS2, Y5)
Current Unit: 1141 The Vikings: how do we know so much about Viking York? (KS2, Y6)
Next Unit: 1060 The Vikings: how did Viking settlement change Britain? (KS2, Y6)

In this unit, the thread progresses as pupils investigate the Viking settlement in York through archaeological discoveries at Coppergate. They evaluate the strategic importance of York, understanding its role as a trading hub with connections to Europe and the Middle East. By analysing artefacts like silk, coins, and gaming pieces, pupils discern the cultural and economic impacts of Viking migration and settlement on the local society and how these influences were integrated into daily life."
"Invasion, migration and settlement","This thread is concerned with the substantive concepts that relate to invasion, migration and settlement. It examines the movement of people into and across different regions, the causes and consequences of these movements, and how they impact society, culture, and identity. It includes violent conquest, peaceful migration, and long-term settlement processes.",Key Stage 2,Year 6,NoBoard,1060,The Vikings: how did Viking settlement change Britain?,"In this unit, pupils learn about how Viking settlement and the Anglo-Saxon response to it led to the making of England. They learn about the roles of Aethelflaed, Aethelred, Edward, and Athelstan and also examine how Aethelflaed's story has only recently received more scholarly attention.",9,"Thread: Invasion, migration and settlement
Previous Unit: 1141 The Vikings: how do we know so much about Viking York? (KS2, Y6)
Current Unit: 1060 The Vikings: how did Viking settlement change Britain? (KS2, Y6)
Next Unit: 508 The Norman Conquest: how do we know about the impact of the Conquest on England? (KS3, Y7)

In this unit, the thread progresses as pupils examine the transformative impact of Viking settlement on Britain. They evaluate Aethelflaed's and Edward's campaigns to understand how they shaped the foundation of England. By assessing Athelstan's unification of kingdoms and Viking integration through trade and cultural exchange, pupils grasp the complex interplay of conflict and cooperation in historical settlement processes."
"Invasion, migration and settlement","This thread is concerned with the substantive concepts that relate to invasion, migration and settlement. It examines the movement of people into and across different regions, the causes and consequences of these movements, and how they impact society, culture, and identity. It includes violent conquest, peaceful migration, and long-term settlement processes.",Key Stage 3,Year 7,NoBoard,508,The Norman Conquest: how do we know about the impact of the Conquest on England?,"In this unit, pupils learn about the causes and conduct of the Norman Conquest of England. They develop their understanding of the sorts of evidence historians use to make claims, and how they do this, building an understanding of how we know about these events.",10,"Thread: Invasion, migration and settlement
Previous Unit: 1060 The Vikings: how did Viking settlement change Britain? (KS2, Y6)
Current Unit: 508 The Norman Conquest: how do we know about the impact of the Conquest on England? (KS3, Y7)
Next Unit: 544 Post-war Britain: for whom did the United Kingdom become a 'New Jerusalem'? (KS3, Y9)

In this unit, the thread progresses as pupils investigate the impact of the Norman Conquest on England through diverse sources. They apply historical methods to evaluate evidence like William of Poitiers' writings, the Bayeux Tapestry, and the Domesday Book, learning how these materials reveal changes in governance, landholding, and religious structures. Pupils critically assess how the Normans used military and administrative strategies to reshape English society and identity."
