threadTitle,threadDescription,keyStageTitle,yearTitle,examBoardTitle,unitId,unitTitle,unitDescription,unitThreadOrder,threadProgressionStatement
"Trade, ideas and communication","This thread is concerned with the substantive concepts that relate to trade, ideas and communication. It investigates how goods, technologies, beliefs, and knowledge move between people and places. It includes trade networks, economic systems, intellectual exchange, technological innovation, and the spread of cultural or religious ideas.",Key Stage 1,Year 1,NoBoard,1083,Photographs from history: what can they tell us about Britain's recent past?,"This unit explores photography as a recent invention that records history, highlighting early photos of lost ways of life and the challenges of early 20th-century photography. Students learn about changes in recent history, including food, clothing, and more, through photos from the past century.",1,"Thread: Trade, ideas and communication
Previous Unit: N/A
Current Unit: 1083 Photographs from history: what can they tell us about Britain's recent past? (KS1, Y1)
Next Unit: 1055 The Romans: what is the story of Christianity's rise? (KS2, Y4)

In this unit, the thread is established as pupils examine how early photography serves as a conduit for understanding Britain's recent past. They assess the challenges and limitations of early 20th-century photography, using images to analyse changes in lifestyles, such as Victorian seaside trips and post-war Britain. Pupils use photographs as a lens to compare features across decades, like fashion and transportation, thereby applying visual evidence to explore historical narratives."
"Trade, ideas and communication","This thread is concerned with the substantive concepts that relate to trade, ideas and communication. It investigates how goods, technologies, beliefs, and knowledge move between people and places. It includes trade networks, economic systems, intellectual exchange, technological innovation, and the spread of cultural or religious ideas.",Key Stage 2,Year 4,NoBoard,1055,The Romans: what is the story of Christianity's rise?,"In this unit, pupils learn about the history of early Christianity's changing fortunes: from a persecuted faith to the official religion of the Roman Empire. They also learn about three great centres of this religion: Western Europe, the Byzantine Empire, and the East African kingdom of Aksum.",2,"Thread: Trade, ideas and communication
Previous Unit: 1083 Photographs from history: what can they tell us about Britain's recent past? (KS1, Y1)
Current Unit: 1055 The Romans: what is the story of Christianity's rise? (KS2, Y4)
Next Unit: 1057 Early Islamic civilisation: how did Baghdad become the 'City of Peace'? (KS2, Y5)

In this unit, the thread progresses as pupils examine the transformation of Christianity from a persecuted faith to the official religion of the Roman Empire. They analyse Constantine's role in this shift, exploring how his conversion and subsequent policies facilitated religious spread and adaptation. Pupils also evaluate the distinct Christian traditions that emerged in the Byzantine Empire and Aksum, enhancing their understanding of how religious ideas travelled and evolved across different regions."
"Trade, ideas and communication","This thread is concerned with the substantive concepts that relate to trade, ideas and communication. It investigates how goods, technologies, beliefs, and knowledge move between people and places. It includes trade networks, economic systems, intellectual exchange, technological innovation, and the spread of cultural or religious ideas.",Key Stage 2,Year 5,NoBoard,1057,Early Islamic civilisation: how did Baghdad become the 'City of Peace'?,"In this unit, pupils develop broad knowledge of Islam's rise. They study Muhammad's role and the early caliphates before focusing on the creation of Baghdad as a new capital for the Islamic Umayyad Caliphate. The unit focuses on the second-order concept of causation.",3,"Thread: Trade, ideas and communication
Previous Unit: 1055 The Romans: what is the story of Christianity's rise? (KS2, Y4)
Current Unit: 1057 Early Islamic civilisation: how did Baghdad become the 'City of Peace'? (KS2, Y5)
Next Unit: 1058 Early Islamic civilisation: what connected Baghdad to the wider world? (KS2, Y5)

In this unit, the thread progresses as pupils examine the rise of Islam and the development of Baghdad, the 'City of Peace'. They explore how trade routes under the Umayyad and Abbasid Caliphates facilitated the spread of goods, ideas, and Islam itself. By analysing Baghdad's founding, pupils understand its role as a hub of economic and intellectual exchange, linking thematically with the movement of technologies, beliefs, and knowledge across different historical contexts."
"Trade, ideas and communication","This thread is concerned with the substantive concepts that relate to trade, ideas and communication. It investigates how goods, technologies, beliefs, and knowledge move between people and places. It includes trade networks, economic systems, intellectual exchange, technological innovation, and the spread of cultural or religious ideas.",Key Stage 2,Year 5,NoBoard,1058,Early Islamic civilisation: what connected Baghdad to the wider world?,"In this unit, pupils analyse the connections that 9th-century Islamic civilisation had to the wider world. They learn about its connections to the East and West and the importance of Baghdad as a centre of learning and knowledge.",4,"Thread: Trade, ideas and communication
Previous Unit: 1057 Early Islamic civilisation: how did Baghdad become the 'City of Peace'? (KS2, Y5)
Current Unit: 1058 Early Islamic civilisation: what connected Baghdad to the wider world? (KS2, Y5)
Next Unit: 1045 Britain's settlement by Anglo-Saxons: what changed after the Romans left? (KS2, Y5)

In this unit, the thread progresses as pupils evaluate Baghdad's role as a hub of intellectual and trade exchange in the 9th century. They analyse how figures like Al-Rashid and institutions such as the House of Wisdom facilitated the movement of scientific and artistic ideas across regions. By examining the cultural and economic links between Baghdad, the Tang, and the Carolingians, pupils understand the dynamics of trade networks and the spread of knowledge during this period."
"Trade, ideas and communication","This thread is concerned with the substantive concepts that relate to trade, ideas and communication. It investigates how goods, technologies, beliefs, and knowledge move between people and places. It includes trade networks, economic systems, intellectual exchange, technological innovation, and the spread of cultural or religious ideas.",Key Stage 2,Year 5,NoBoard,1045,Britain's settlement by Anglo-Saxons: what changed after the Romans left?,"In this unit, pupils focus on what changed in Britain after the Romans left. They learn about the coming of the Anglo-Saxons and the rise of Mercia. Pupils end the unit by analysing what had changed after the Romans left Britain.",5,"Thread: Trade, ideas and communication
Previous Unit: 1058 Early Islamic civilisation: what connected Baghdad to the wider world? (KS2, Y5)
Current Unit: 1045 Britain's settlement by Anglo-Saxons: what changed after the Romans left? (KS2, Y5)
Next Unit: 1046 The Anglo-Saxons: how do we know about life in Anglo-Saxon England? (KS2, Y5)

In this unit, the thread progresses as pupils examine the transformation of Britain post-Roman departure, focusing on the movement and settlement of the Angles, Saxons, and Jutes. They explore how these groups established kingdoms, like Mercia, and assess the role of Christianity's return in shaping societal structures. Pupils evaluate how communication and trade networks evolved during this period, highlighting the interplay of cultural and technological exchanges that redefine Britain's landscape."
"Trade, ideas and communication","This thread is concerned with the substantive concepts that relate to trade, ideas and communication. It investigates how goods, technologies, beliefs, and knowledge move between people and places. It includes trade networks, economic systems, intellectual exchange, technological innovation, and the spread of cultural or religious ideas.",Key Stage 2,Year 5,NoBoard,1046,The Anglo-Saxons: how do we know about life in Anglo-Saxon England?,"In this unit, pupils develop their understanding of the link between sources and historical knowledge. They learn about some of the main historical sources that exist for the Anglo-Saxon period and how historians have used these to present arguments about life in Anglo-Saxon",6,"Thread: Trade, ideas and communication
Previous Unit: 1045 Britain's settlement by Anglo-Saxons: what changed after the Romans left? (KS2, Y5)
Current Unit: 1046 The Anglo-Saxons: how do we know about life in Anglo-Saxon England? (KS2, Y5)
Next Unit: 1150 Significant turning points: in what ways did Britain change after WWII? (KS2, Y6)

In this unit, the thread progresses as pupils investigate how archaeological and written sources reveal trade, ideas, and communication in Anglo-Saxon England. By examining grave goods like Indian garnets and Frankish coins, pupils apply their understanding of trade networks. They explore how artefacts and texts, such as law codes and church remnants, provide insights into economic connections, social roles, and the spread of Christianity, enriching their comprehension of historical interactions."
"Trade, ideas and communication","This thread is concerned with the substantive concepts that relate to trade, ideas and communication. It investigates how goods, technologies, beliefs, and knowledge move between people and places. It includes trade networks, economic systems, intellectual exchange, technological innovation, and the spread of cultural or religious ideas.",Key Stage 2,Year 6,NoBoard,1150,Significant turning points: in what ways did Britain change after WWII?,"In this unit, pupils analyse the ways in which Britain changed after the Second World War. They learn about the creation of the NHS, the experiences of the Windrush generation and the technological and social changes that took place in the 1960s.",7,"Thread: Trade, ideas and communication
Previous Unit: 1046 The Anglo-Saxons: how do we know about life in Anglo-Saxon England? (KS2, Y5)
Current Unit: 1150 Significant turning points: in what ways did Britain change after WWII? (KS2, Y6)
Next Unit: 938 11th-century Islamic worlds: how similar were the regions of the Islamic world? (KS3, Y7)

In this unit, the thread progresses as pupils evaluate post-WWII transformations in Britain, focusing on the establishment of the NHS, the experiences of the Windrush generation, and technological advancements. By analysing these turning points, pupils assess how economic and social changes redefine communication and cultural interaction, particularly through the impact of the Windrush arrivals and the proliferation of media like television, which reshapes British identity and societal norms."
"Trade, ideas and communication","This thread is concerned with the substantive concepts that relate to trade, ideas and communication. It investigates how goods, technologies, beliefs, and knowledge move between people and places. It includes trade networks, economic systems, intellectual exchange, technological innovation, and the spread of cultural or religious ideas.",Key Stage 3,Year 7,NoBoard,938,11th-century Islamic worlds: how similar were the regions of the Islamic world?,"In this unit, pupils develop their knowledge and understanding of the Islamic world in the 11th century. Pupils study three connected, but contrasting, centres of Islamic civilisation: Baghdad, Cordoba and Sicily.",8,"Thread: Trade, ideas and communication
Previous Unit: 1150 Significant turning points: in what ways did Britain change after WWII? (KS2, Y6)
Current Unit: 938 11th-century Islamic worlds: how similar were the regions of the Islamic world? (KS3, Y7)
Next Unit: 511 Medieval women: what can we learn from Matilda about women in medieval England? (KS3, Y7)

In this unit, the thread progresses as pupils examine the diverse nature of 11th-century Islamic regions by analysing Baghdad's cultural connections, Cordoba's intellectual exchanges, and Sicily's trade networks. They evaluate how these centres interacted with surrounding areas and how power dynamics, like the Seljuk influence, shaped the fragmentation of the Islamic world, enhancing their understanding of interconnected trade and cultural systems."
"Trade, ideas and communication","This thread is concerned with the substantive concepts that relate to trade, ideas and communication. It investigates how goods, technologies, beliefs, and knowledge move between people and places. It includes trade networks, economic systems, intellectual exchange, technological innovation, and the spread of cultural or religious ideas.",Key Stage 3,Year 7,NoBoard,511,Medieval women: what can we learn from Matilda about women in medieval England?,"In this unit, pupils analyse the historical significance of Empress Matilda's life. They use her life as a lens to consider the lives of noble women in medieval England.",9,"Thread: Trade, ideas and communication
Previous Unit: 938 11th-century Islamic worlds: how similar were the regions of the Islamic world? (KS3, Y7)
Current Unit: 511 Medieval women: what can we learn from Matilda about women in medieval England? (KS3, Y7)
Next Unit: 515 Local history: how similar were medieval lives in Norwich? (KS3, Y7)

In this unit, the thread progresses as pupils examine the political and social roles of noble women in medieval England through Empress Matilda's life. They apply their understanding of medieval power dynamics by analysing Matilda's claim to the English throne, her campaign against Stephen, and her role in the Treaty of Wallingford. Pupils evaluate how Matilda's actions and influence reflect broader patterns in trade, ideas, and communication within the medieval world."
"Trade, ideas and communication","This thread is concerned with the substantive concepts that relate to trade, ideas and communication. It investigates how goods, technologies, beliefs, and knowledge move between people and places. It includes trade networks, economic systems, intellectual exchange, technological innovation, and the spread of cultural or religious ideas.",Key Stage 3,Year 7,NoBoard,515,Local history: how similar were medieval lives in Norwich?,"In this unit, pupils learn about the similarities and differences between various medieval lives in Norwich. In doing so, they build deep knowledge of one particular historical place and what it tells us about medieval England more generally.",10,"Thread: Trade, ideas and communication
Previous Unit: 511 Medieval women: what can we learn from Matilda about women in medieval England? (KS3, Y7)
Current Unit: 515 Local history: how similar were medieval lives in Norwich? (KS3, Y7)
Next Unit: 516 Medieval West Africa: why was medieval Mali so successful? (KS3, Y7)

In this unit, the thread progresses as pupils examine how trade and communication shaped medieval Norwich. They explore the impact of the wool trade and European connections, alongside the role of wealthy merchants in local governance. Pupils assess how religious institutions like Norwich Cathedral influenced social life and how women's roles in trade and literacy contributed to cultural exchanges, thereby expanding their understanding of medieval economic and intellectual networks."
